Seed,Gen,Msteps,Bestfit,Bestgit,Bestsam,Avgfit,Paramsize
1,401,50,1954.63,1942.57,1930.67,1596.97,0.18
2,422,50,1881.14,1849.71,1765.95,1557.10,0.18
3,609,50,1800.10,1800.53,1721.82,1312.51,0.17
4,382,50,2080.51,2091.77,2054.83,1738.77,0.18
5,358,50,2014.29,2012.99,2001.81,1536.85,0.18
6,363,50,2295.83,2248.88,2295.83,1797.81,0.17
7,374,50,2051.86,2040.89,2048.41,1645.21,0.18
8,405,50,1756.91,1729.04,1678.39,1379.48,0.18
9,437,50,1454.61,1452.62,1425.64,1108.13,0.17
10,364,50,1989.88,1953.38,1966.42,1258.56,0.18
