Seed,Gen,Msteps,Bestfit,Bestgit,Bestsam,Avgfit,Paramsize
1,403,50,2103.40,2083.57,2083.96,1765.51,0.18
2,423,50,1929.01,1893.49,1892.95,1448.87,0.17
3,609,50,1808.06,1770.85,1745.07,1394.22,0.18
4,384,50,2047.00,1997.32,1948.52,1422.92,0.18
5,358,50,2027.87,1996.20,2004.62,1704.93,0.18
6,365,50,2352.77,2334.04,2298.69,1941.28,0.18
7,375,50,2012.88,1993.64,1978.24,1597.28,0.18
8,405,50,1695.65,1669.52,1685.19,1437.94,0.18
9,438,50,1320.77,1312.06,1290.26,1038.41,0.17
10,362,50,1944.68,1942.84,1920.36,1559.82,0.17
