Seed,Gen,Msteps,Bestfit,Bestgit,Bestsam,Avgfit,Paramsize
1,409,50,1422.79,1421.45,1315.34,933.17,0.17
2,468,50,1948.77,1977.02,1923.43,1587.67,0.18
3,629,50,2258.70,2203.68,2258.70,1531.63,0.17
4,436,50,1579.71,1592.64,1540.53,1089.23,0.18
5,392,50,1735.48,1691.24,1625.39,1287.03,0.17
6,374,50,1861.76,1823.03,1677.82,1180.97,0.18
7,445,50,1932.57,1929.70,1905.49,1542.34,0.18
8,603,50,1903.09,1903.84,1803.02,1471.25,0.17
9,449,50,1363.30,1365.46,1341.35,1039.25,0.18
10,429,50,1784.89,1772.92,1641.65,1175.14,0.17
