Seed,Gen,Msteps,Bestfit,Bestgit,Bestsam,Avgfit,Paramsize
1,396,50,2004.07,2012.94,1975.98,1804.21,0.19
2,600,50,1602.78,1540.71,1544.32,1313.27,0.17
3,597,50,1829.45,1793.49,1829.45,1460.43,0.18
4,378,50,2069.68,2010.61,2069.68,1638.53,0.18
5,407,50,1773.92,1757.79,1747.69,1584.24,0.18
6,3020,50,178.58,177.10,172.04,152.35,0.16
7,465,50,1597.73,1589.69,1597.73,1239.05,0.17
8,442,50,1812.87,1776.51,1732.63,1431.37,0.18
9,354,50,2002.34,1973.54,1968.17,1809.89,0.18
10,444,50,1959.74,1952.79,1922.96,1758.51,0.18
