Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,446,50,2667.85,2634.77,2648.92,2428.72,0.15,halfcheetah
2,899,50,1901.86,1900.92,1849.22,1642.80,0.17,halfcheetah
3,650,50,1816.87,1792.58,1816.87,1560.30,0.16,halfcheetah
4,452,50,2367.86,2366.14,2350.44,2153.65,0.16,halfcheetah
5,4435,50,1534.28,1425.83,1534.28,1252.13,0.17,halfcheetah
6,524,50,2605.07,2632.03,2533.22,2302.44,0.16,halfcheetah
7,1114,50,777.31,751.78,758.17,506.46,0.17,halfcheetah
8,494,50,1906.22,1886.38,1841.36,1680.79,0.16,halfcheetah
9,1202,50,1999.19,1916.56,1788.97,1442.76,0.17,halfcheetah
10,7596,50,248.39,65.06,38.10,16.98,0.17,halfcheetah
