Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,788,50,1591.13,1574.60,1557.64,1420.68,0.16,ant
2,682,50,1417.50,1344.86,1417.50,1223.53,0.17,ant
3,1296,50,1541.39,1534.69,1519.69,1337.27,0.17,ant
4,1102,50,1151.33,1140.22,1131.61,991.74,0.17,ant
5,741,50,1810.16,1798.73,1810.16,1660.09,0.16,ant
6,774,50,873.65,874.82,854.81,788.10,0.16,ant
7,1020,50,671.37,645.60,643.91,455.43,0.16,ant
8,909,50,1341.92,1343.12,1319.89,1191.39,0.16,ant
9,835,50,1306.86,1295.99,1297.13,1193.20,0.17,ant
10,1180,50,1099.15,1078.76,1099.15,955.92,0.17,ant
