Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,851,34,849.05,797.50,849.05,605.83,0.16,ant
2,2025,37,84.64,83.78,81.91,72.35,0.17,ant
3,2112,37,93.72,92.99,89.33,73.93,0.17,ant
4,1416,50,718.76,707.56,702.36,563.42,0.17,ant
5,1525,50,803.26,799.63,768.04,657.60,0.17,ant
6,764,50,1425.20,1424.26,1421.13,1276.55,0.16,ant
7,1046,50,1587.40,1564.03,1549.06,1418.43,0.17,ant
8,962,50,1491.19,1474.16,1471.03,1318.48,0.17,ant
9,1224,50,1214.04,1200.90,1210.31,1104.34,0.17,ant
10,1255,50,1290.83,1246.41,1214.85,1090.66,0.17,ant
11,1130,50,1022.38,1002.87,1002.03,870.41,0.16,ant
12,1606,50,863.02,871.02,863.02,671.48,0.17,ant
13,1258,36,716.88,699.88,716.88,580.57,0.17,ant
14,1351,50,550.27,543.92,549.02,483.73,0.17,ant
15,913,50,626.45,611.94,590.94,445.21,0.16,ant
16,718,50,744.02,744.24,726.13,490.66,0.16,ant
17,1289,50,1051.84,1052.05,1046.62,941.16,0.17,ant
18,738,50,1160.86,1146.31,1132.34,1036.14,0.16,ant
19,714,35,1334.99,1313.47,1334.99,1239.97,0.17,ant
20,586,50,1451.35,1439.33,1419.89,1214.19,0.17,ant
