Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,687,50,1309.30,1303.64,1298.94,1132.12,0.16,halfcheetah
2,703,50,1790.18,1687.91,1678.26,1383.11,0.17,halfcheetah
3,2132,49,604.71,562.93,509.11,292.96,0.16,halfcheetah
4,1029,50,1431.80,1340.92,1322.41,962.49,0.17,halfcheetah
5,1137,50,1620.63,1638.01,1426.36,598.79,0.17,halfcheetah
6,713,50,1818.58,1804.10,1780.49,1544.18,0.17,halfcheetah
7,720,44,1458.50,1448.09,1433.55,1137.84,0.17,halfcheetah
8,917,50,1691.36,1690.50,1674.00,1583.40,0.17,halfcheetah
9,1415,50,1484.76,1469.62,1458.74,1193.23,0.18,halfcheetah
10,1706,49,1332.68,1197.81,1104.00,529.27,0.17,halfcheetah
11,491,50,1865.41,1815.46,1865.41,1559.46,0.16,halfcheetah
12,424,50,1631.03,1609.34,1560.52,1410.25,0.16,halfcheetah
13,555,50,2421.99,2393.05,2360.09,2088.07,0.16,halfcheetah
14,1469,50,2396.03,2399.14,2289.37,1883.33,0.18,halfcheetah
15,1282,49,2072.39,1987.76,1769.95,1247.81,0.17,halfcheetah
16,1227,50,2052.07,1974.86,1619.12,920.69,0.17,halfcheetah
17,1139,50,2205.27,2121.35,2084.55,925.91,0.17,halfcheetah
18,840,50,2171.43,2200.70,2157.56,1797.06,0.17,halfcheetah
19,507,50,2669.29,2673.10,2625.98,2343.84,0.17,halfcheetah
20,423,50,1625.14,1633.96,1592.04,1503.09,0.15,halfcheetah
