Seed,Gen,Msteps,Bestfit,Bestgfit,Bestsam,Avgfit,Paramsize,Experiment
1,415,50,772.07,736.01,695.46,593.69,0.16,walker
2,712,50,148.30,132.07,142.90,122.70,0.16,walker
3,753,50,628.84,630.86,624.93,440.14,0.16,walker
4,599,50,716.35,709.55,704.22,527.81,0.16,walker
5,567,50,866.92,848.14,830.96,713.02,0.16,walker
6,1554,50,139.55,136.64,135.42,116.87,0.16,walker
7,391,50,765.14,743.29,743.84,621.99,0.16,walker
8,1304,50,1206.02,1150.93,1152.06,936.87,0.17,walker
9,701,50,980.14,960.92,909.56,665.73,0.16,walker
10,556,50,652.67,648.64,644.52,502.66,0.16,walker
